iter	RMSE
218	1660.552907
219	1660.227116
220	1659.838228
221	1659.445861
222	1659.104206
223	1658.717276
224	1658.423182
225	1657.778889
226	1657.254824
227	1656.855975
228	1656.114124
229	1655.813238
230	1655.408298
231	1654.804232
232	1654.503352
233	1654.150479
234	1653.510623
235	1652.865572
236	1652.442818
237	1651.967212
238	1651.73671
239	1651.163871
240	1650.713984
241	1650.385218
242	1649.96201
243	1649.629427
244	1649.352159
245	1648.837727
246	1648.542341
247	1648.252842
248	1647.859149
249	1647.26307
250	1646.954085
251	1646.401773
252	1645.822747
253	1645.465999
254	1645.087901
255	1644.686174
256	1644.410826
257	1644.078821
258	1643.858572
259	1643.392711
260	1642.98962
261	1642.646486
262	1642.429133
263	1642.000957
264	1641.567984
265	1641.034183
266	1640.707164
267	1640.141882
268	1639.845438
269	1639.416655
270	1639.003206
271	1638.649131
272	1638.218324
273	1637.823194
274	1637.189186
275	1636.5327
276	1636.068584
277	1635.411551
278	1635.066848
279	1634.757011
280	1634.211346
281	1633.960975
282	1633.806548
283	1633.1174
284	1632.800458
285	1632.336024
286	1631.938477
287	1631.556737
288	1631.200089
289	1630.938945
290	1630.666281
291	1630.382017
292	1629.909998
293	1629.522117
294	1629.299858
295	1629.041336
296	1628.506288
297	1628.201511
298	1627.835695
299	1627.184905
300	1626.818405
301	1626.43704
302	1626.124073
303	1625.708753
304	1625.350359
305	1624.841493
306	1624.359657
307	1623.798178
308	1623.32339
309	1623.049569
310	1622.726907
311	1622.464345
312	1622.147475
313	1621.728677
314	1621.554702
315	1621.16199
316	1620.848814
317	1620.516438
318	1620.221838
319	1619.73573
320	1619.326048
321	1618.827068
322	1618.410969
323	1618.077674
324	1617.867218
325	1617.453951
326	1617.044399
327	1616.593908
328	1616.336092
329	1616.113703
330	1615.719368
331	1615.55758
332	1615.035903
333	1614.878383
334	1614.294954
335	1614.109928
336	1613.870521
337	1613.651725
338	1613.301992
339	1612.972931
340	1612.863565
341	1612.533387
342	1612.336431
343	1612.065408
344	1611.748631
345	1611.4677
346	1611.168577
347	1610.768732
348	1610.351724
349	1610.057626
350	1609.932199
351	1609.521317
352	1609.209184
353	1608.99645
354	1608.7416
355	1608.465621
356	1608.142721
357	1607.825986
358	1607.599919
359	1607.226501
360	1607.042684
361	1606.82542
362	1606.649302
363	1606.31087
364	1606.063384
365	1605.740774
366	1605.100248
367	1604.816635
368	1604.532208
369	1604.266022
370	1603.997058
371	1603.678542
372	1603.523156
373	1603.148251
374	1602.818229
375	1602.577042
376	1602.419478
377	1602.21676
378	1602.083931
379	1601.812354
380	1601.537656
381	1601.308361
382	1601.120745
383	1601.033176
384	1600.836437
385	1600.582094
386	1600.476518
387	1600.269378
388	1599.8383
389	1599.563963
390	1599.066488
391	1598.90269
392	1598.703361
393	1598.4693
394	1598.239609
395	1598.047194
396	1597.927027
397	1597.709822
398	1597.436727
399	1597.015625
400	1596.638317
401	1596.469295
402	1596.262816
403	1596.108222
404	1595.7703
405	1595.615129
406	1595.359441
407	1594.94172
408	1594.876533
409	1594.579954
410	1594.384788
411	1594.169553
412	1593.95835
413	1593.669848
414	1593.47791
415	1593.209073
416	1592.970002
417	1592.559388
418	1592.169554
419	1591.708339
420	1591.499474
421	1591.222222
422	1591.024347
423	1590.808986
424	1590.471751
425	1590.27428
426	1589.995582
427	1589.83769
428	1589.695513
429	1589.483945
430	1589.134109
431	1588.920877
432	1588.59344
433	1588.120467
434	1587.851071
435	1587.6619
436	1587.45819
437	1587.297936
438	1587.00842
439	1586.524502
440	1586.174955
441	1585.867561
442	1585.716716
443	1585.445709
444	1585.194954
445	1585.001463
446	1584.863577
447	1584.699281
448	1584.59283
449	1584.377565
450	1584.196382
451	1583.872867
452	1583.538217
453	1583.215794
454	1582.979644
455	1582.640363
456	1582.501047
457	1582.255569
458	1581.968977
459	1581.910568
460	1581.528993
461	1581.256945
462	1581.057519
463	1580.895822
464	1580.749071
465	1580.60572
466	1580.318337
467	1580.045868
468	1579.871597
469	1579.522533
470	1579.37057
471	1579.172704
472	1578.705058
473	1578.487193
474	1578.242798
475	1578.121002
476	1577.894021
477	1577.694512
478	1577.392437
479	1577.142176
480	1577.016762
481	1576.73926
482	1576.630286
483	1576.364114
484	1576.226815
485	1575.931161
486	1575.729829
487	1575.638353
488	1575.483612
489	1575.223317
490	1574.894519
491	1574.598458
492	1574.206259
493	1574.032396
494	1573.92891
495	1573.722113
496	1573.258369
497	1572.965625
498	1572.72022
499	1572.500527
500	1572.341594
501	1572.174747
502	1572.097975
503	1571.893472
504	1571.76461
505	1571.580488
506	1571.213039
507	1570.990425
508	1570.815576
509	1570.656845
510	1570.482728
511	1570.387786
512	1570.253778
513	1570.075427
514	1569.821141
515	1569.688147
516	1569.468098
517	1569.278643
518	1569.144381
519	1568.956187
520	1568.736038
521	1568.508191
522	1568.436808
523	1568.279298
524	1568.059383
525	1567.835121
526	1567.614857
527	1567.472875
528	1567.143565
529	1566.991154
530	1566.778884
531	1566.451592
532	1566.269751
533	1566.016291
534	1565.81775
535	1565.658431
536	1565.50382
537	1565.256406
538	1565.028464
539	1564.802902
540	1564.7145
541	1564.53504
542	1564.425652
543	1564.211825
544	1564.071568
545	1563.844822
546	1563.664563
547	1563.515924
548	1563.363808
549	1563.260408
550	1563.140726
551	1563.039479
552	1562.856921
553	1562.639213
554	1562.496814
555	1562.367054
556	1562.182604
557	1562.028706
558	1561.874618
559	1561.782984
560	1561.738118
561	1561.473221
562	1561.297459
563	1561.141974
564	1561.009867
565	1560.723848
566	1560.598422
567	1560.433473
568	1560.268631
569	1559.969379
570	1559.757644
571	1559.634613
572	1559.516639
573	1559.383663
574	1559.169107
575	1559.079724
576	1558.890047
577	1558.670013
578	1558.471122
579	1558.289586
580	1558.020428
581	1557.808407
582	1557.560689
583	1557.233538
584	1557.087104
585	1557.011977
586	1556.849075
587	1556.742951
588	1556.555243
589	1556.460557
590	1556.204578
591	1555.89119
592	1555.795431
593	1555.425554
594	1555.328012
595	1555.113835
596	1554.989543
597	1554.773217
598	1554.620533
599	1554.452989
600	1554.263883
601	1554.127337
602	1553.955757
603	1553.794235
604	1553.761506
605	1553.682935
606	1553.542091
607	1553.339664
608	1553.078861
609	1552.898924
610	1552.680781
611	1552.343181
612	1552.244789
613	1552.129657
614	1551.98999
615	1551.833532
616	1551.597065
617	1551.411508
618	1551.242791
619	1551.211156
620	1550.940252
621	1550.805055
622	1550.635134
623	1550.546548
624	1550.391214
625	1550.259527
626	1550.102001
627	1549.996881
628	1549.839704
629	1549.792095
630	1549.705142
631	1549.482247
632	1549.360565
633	1549.318582
634	1549.212951
635	1549.089046
636	1548.89415
637	1548.752461
638	1548.568184
639	1548.253908
640	1548.072619
641	1547.968509
642	1547.774537
643	1547.554848
644	1547.449342
645	1547.295629
646	1547.091783
647	1546.829535
648	1546.657616
649	1546.616458
650	1546.353765
651	1546.09575
652	1545.947233
653	1545.733237
654	1545.454536
655	1545.284118
656	1545.130581
657	1545.061001
658	1544.83338
659	1544.710569
660	1544.578344
661	1544.481827
662	1544.279026
663	1544.132263
664	1544.023667
665	1543.933723
666	1543.836233
667	1543.704534
668	1543.565553
669	1543.432689
670	1543.164331
671	1543.033121
672	1542.733615
673	1542.614594
674	1542.508388
675	1542.399782
676	1542.249026
677	1542.12008
678	1541.954223
679	1541.862711
680	1541.764899
681	1541.619701
682	1541.50582
683	1541.308449
684	1541.139482
685	1541.065013
686	1540.939615
687	1540.764607
688	1540.727581
689	1540.572955
690	1540.472439
691	1540.305134
692	1540.141658
693	1540.037146
694	1539.854128
695	1539.752318
696	1539.655761
697	1539.428592
698	1539.327953
699	1539.291309
700	1539.21637
701	1539.050813
702	1538.86346
703	1538.736363
704	1538.553279
705	1538.525233
706	1538.385298
707	1538.281148
708	1538.061113
709	1537.946979
710	1537.831961
711	1537.648139
712	1537.463294
713	1537.378018
714	1537.291542
715	1537.178782
716	1537.059625
717	1536.858831
718	1536.557129
719	1536.469825
720	1536.369515
721	1536.21674
722	1536.054823
723	1535.983518
724	1535.851759
725	1535.676297
726	1535.532801
727	1535.383271
728	1535.309559
729	1535.059606
730	1534.882645
731	1534.850813
732	1534.612906
733	1534.431345
734	1534.293053
735	1534.189164
736	1534.118956
737	1533.986923
738	1533.911709
739	1533.817766
740	1533.720839
741	1533.500932
742	1533.359241
743	1533.303504
744	1533.126656
745	1532.973694
746	1532.840178
747	1532.695921
748	1532.59367
749	1532.471457
750	1532.310541
751	1532.23661
752	1532.045185
753	1531.893566
754	1531.746417
755	1531.584813
756	1531.478174
757	1531.373176
758	1531.21991
759	1531.086732
760	1530.872087
761	1530.774645
762	1530.528607
763	1530.344271
764	1530.220742
765	1530.098549
766	1529.980384
767	1529.862325
768	1529.648678
769	1529.499665
770	1529.35179
771	1529.285154
772	1529.209964
773	1529.096614
774	1528.894749
775	1528.827988
776	1528.686729
777	1528.565907
778	1528.474909
779	1528.438107
780	1528.279725
781	1528.113765
782	1527.966178
783	1527.816054
784	1527.796525
785	1527.573166
786	1527.463856
787	1527.279021
788	1527.179422
789	1527.045222
790	1526.855351
791	1526.696915
792	1526.60479
793	1526.488282
794	1526.334284
795	1526.240134
796	1526.097512
797	1525.96677
798	1525.859291
799	1525.69657
800	1525.571082
801	1525.338774
802	1525.18776
803	1525.145954
804	1524.946585
805	1524.762668
806	1524.587505
807	1524.414815
808	1524.337702
809	1524.254588
810	1524.124943
811	1523.924912
812	1523.806838
813	1523.69926
814	1523.633608
815	1523.543953
816	1523.440502
817	1523.353998
818	1523.26938
819	1523.152944
820	1523.011639
821	1522.88441
822	1522.795744
823	1522.636793
824	1522.467513
825	1522.376124
826	1522.304932
827	1522.179198
828	1522.119773
829	1522.015398
830	1521.901224
831	1521.871768
832	1521.786015
833	1521.711209
834	1521.563948
835	1521.499166
836	1521.30156
837	1521.207449
838	1521.147922
839	1520.981482
840	1520.902658
841	1520.781248
842	1520.764079
843	1520.681077
844	1520.547347
845	1520.485215
846	1520.418299
847	1520.282425
848	1520.074771
849	1519.901723
850	1519.759244
851	1519.594695
852	1519.517036
853	1519.439215
854	1519.280691
855	1519.090228
856	1519.027784
857	1518.871275
858	1518.67329
859	1518.562413
860	1518.439835
861	1518.16569
862	1518.125974
863	1518.018554
864	1517.937983
865	1517.793354
866	1517.627699
867	1517.515748
868	1517.380727
869	1517.293341
870	1517.067439
871	1516.942376
872	1516.820211
873	1516.690434
874	1516.612737
875	1516.528049
876	1516.364984
877	1516.28172
878	1516.119087
879	1515.998105
880	1515.927777
881	1515.853719
882	1515.780158
883	1515.597329
884	1515.485405
885	1515.412375
886	1515.273958
887	1515.180885
888	1515.129276
889	1515.068571
890	1514.986763
891	1514.92846
892	1514.780439
893	1514.722494
894	1514.618047
895	1514.508097
896	1514.399163
897	1514.278036
898	1514.162808
899	1514.062135
900	1513.969208
901	1513.90696
902	1513.752758
903	1513.654369
904	1513.540613
905	1513.361863
906	1513.245631
907	1513.126768
908	1513.025146
909	1512.964574
910	1512.866722
911	1512.767129
912	1512.68997
913	1512.596759
914	1512.431021
915	1512.401883
916	1512.255422
917	1512.136778
918	1512.009524
919	1511.885023
920	1511.768994
921	1511.679541
922	1511.601232
923	1511.485433
924	1511.352129
925	1511.211672
926	1511.09411
927	1511.02335
928	1510.945184
929	1510.852753
930	1510.773938
931	1510.682053
932	1510.59348
933	1510.515552
934	1510.499687
935	1510.406624
936	1510.290692
937	1510.19001
938	1510.121556
939	1510.036478
940	1509.913756
941	1509.87752
942	1509.787997
943	1509.615692
944	1509.467938
945	1509.39604
946	1509.261621
947	1509.162088
948	1508.978603
949	1508.904498
950	1508.802046
951	1508.601721
952	1508.528448
953	1508.458823
954	1508.330737
955	1508.267089
956	1508.153016
957	1508.054229
958	1507.972998
959	1507.893279
960	1507.842507
961	1507.796918
962	1507.729534
963	1507.688864
964	1507.639472
965	1507.624923
966	1507.507117
967	1507.456153
968	1507.352828
969	1507.299892
970	1507.219564
971	1507.13191
972	1507.049146
973	1506.994153
974	1506.903983
975	1506.829017
976	1506.712876
977	1506.587372
978	1506.492417
979	1506.378446
980	1506.26728
981	1506.166346
982	1506.049448
983	1505.999787
984	1505.90703
985	1505.798662
986	1505.768398
987	1505.688752
988	1505.60051
989	1505.555753
990	1505.465906
991	1505.349396
992	1505.272084
993	1505.154995
994	1505.069493
995	1504.948165
996	1504.861495
997	1504.671894
998	1504.598044
999	1504.426819
